153, Kambja vald Tartumaa, 58.2433, 26.2361
154, Kambja, 58.3014, 26.1999
155, Kamenets-Podolski Venemaa, 48.7164, 26.5761
156, Kanepi klk., 57.81554, 26.90398
157, Kanepi küla Võrumaa, 57.845, 26.979
158, Kanepi Võrumaa, 57.8356, 26.9701
159, Kardla Hiiumaa, 58.9974, 22.7459
160, Kargula Võrumaa, 57.824, 26.912
161, Kariste vald Pärnumaa, 58.3727, 25.4918
162, Kariste Pärnumaa, 58.36732, 24.48289
163, Karja vald Saaremaa, 58.4022, 22.6766
164, Karkna vald Tartumaa, 58.3676, 26.348
165, Karkna Tartumaa, 58.3092, 26.3248
166, Karksi Parnumaa, 58.0066, 25.6211
167, Karksi vald Parnumaa, 57.9857, 25.4732
168, Karksi vald Pärnumaa, 58.097, 25.459
169, Karla vald Saaremaa, 58.482, 23.127
170, Karski vald Pärnumaa, 58.46576, 25.30212
171, Karstna Viljandimaa, 57.7169, 25.6436
172, Karstna vald Viljandimaa, 58.2364, 25.3524
173, Karu vald Jarvamaa, 58.8951, 25.8448
174, Karu vald Järvamaa, 58.90283, 25.80032
175, Karula vald Valgamaa, 57.7614, 26.3896
176, Karula vald Viljandimaa, 58.217, 25.650
177, Karula vald Võrumaa, 57.709, 26.409
178, Karula Võrumaa, 57.7681, 26.9244
179, Kasaritsa vald Võrumaa, 57.973, 27.189
180, Kastre-Vonnu Tartumaa, 58.2299, 26.402
181, Kastre-Vorru Tartumaa, 58.2416, 27.1861
182, Kastre-Võnnu, 58.225, 26.677
183, Kauksi mõis Võrumaa, 58.222, 27.628
184, Kavastu Tartumaa, 58.3313, 26.6791
185, Kavastu maakond Virumaa, 59.4319, 25.856
186, Kavastu vald Tartumaa, 58.1504, 
187, Kavilda Tartumaa, 58.5209, 26.4646
188, Kavilda vald Tartumaa, 58.1657, 26.4934
189, Kavilda, 58.259, 26.823
190, Keeni Tartumaa, 58.2301, 27.0696
191, Keeni vald Tartumaa, 58.2751, 26.4077
192, Keeni vald Valgamaa, 57.964, 26.361
193, Kehra Harjumaa, 59.342, 25.312
194, Kehtna vald Harjumaa, 58.8769, 24.82563
195, Keila Harjumaa, 59.3039, 24.4113
196, Keila vald Harjumaa, 59.2534, 24.4972
197, Keina vald Hiiumaa, 58.844, 22.546
198, Kermi Harjumaa, 59.1519, 25.7207
199, Kernu vald Harjumaa, 59.1032, 24.5092
200, Keskvere vald Läänemaa, 58.9576, 23.9187
201, Kihelkonna vald Saaremaa, 58.4457, 22.7028
